uid,session_id,user_id,timestamp,event_type,screen_x,screen_y
18d23c24-c5ea-46ff-8318-17e743c24317,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1087,442
25f4ed5c-12d6-4164-827b-35ab5e9d84e9,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1324,468
29716657-2778-4f32-a14c-d062aa0d8c03,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1504,487
37cb2b1e-e479-4912-ad70-b6834b5fc86c,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,965,428
00dc619a-0139-4c27-b13e-dcc0b668c4f9,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1919,1039
025f2637-a678-40aa-9a0d-8bc84027f17a,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,726,509
02e54da3-39c8-442f-af95-76294728dfc6,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,708,403
03eb025d-c0b1-4818-903c-dca1790eb168,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,652,303
0fe8af7a-78b3-4ce1-932c-6a8a7c6ab6ed,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,56,208
13cb14a0-7795-47c4-98f6-09e696a35dd1,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,414,165
1566c9c9-1989-4290-a50c-1bdfe95afb94,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,20,111
17e8325a-a9c1-4191-b886-c1c39d490e01,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,654,638
275a617c-d2c9-442d-a070-77ab77f6bd1b,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,228,176
335d32f1-480a-4b3e-82a6-a4ab599656e5,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,5,699,598
372896f6-4a7c-476d-867a-fb576540a0b0,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,501,311
4106460f-e62a-4cc4-a545-9dd169904e2c,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,23,112
48697d6c-bbc8-4e3a-a919-a76c2a68b6a7,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,5,21,107
4c0055f3-cce2-4310-a899-4ab8ec9e8f5b,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,697,407
4d3fdd01-1022-48a2-a8c5-ebfbde7e812f,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,703,606
569c13d4-4527-4fe9-883a-a45d03c3e53f,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1637,754
57b11a15-82ca-4ee6-aced-20c139473814,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1111,440
5c45b68e-5e30-46dd-a247-654f9a286dd1,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,458,441
5d3c4588-0180-496f-a1ef-8addd857c146,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,5,777,716
5e3ad9bd-b595-46c8-ae6c-d93176e95fb1,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,524,466
5f9b5312-1fa4-4aaa-a312-62133534db96,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,615,363
688c4042-f0b4-49f4-b5dc-2e065084d0a0,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1011,368
5b2c1cc4-b8af-4a47-827d-eca4ff8315d5,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1609,564
5e381dc6-9b09-4424-bc21-cfb583c142e2,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,994,606
8394dd9f-4fac-447c-ac9c-cb222348cf68,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1318,572
a1cebfb1-caed-4ba6-9587-0d784df45da8,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1743,553
b75cc5cd-f1fd-4142-a603-74444f311d38,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2.4162E+18,1.65599E+12,2,1206,456
